,Total_Experience,Relevant_experience,Department,Role,Industry,Organization,Designation,Education,Graduation_Specialization,PG_Specialization,PHD_Specialization,Current_CTC,Inhand_Offer,Last_Appraisal_Rating,No_Of_Companies_worked,Certifications,International_degree_any,Expected_CTC
33,13,9,Healthcare,Analyst,Automobile,E,Others,PG,Others,Chemistry,Did not do PHD,2312085,1,Key_Performer,2,1,0,3051952
34,16,10,IT-Software,Consultant,Retail,K,Web Designer,Grad,Mathematics,Others,Did not do PHD,2449021,0,A,2,0,0,3061276
35,12,12,Sales,Analyst,Insurance,P,Assistant Manager,Doctorate,Engineering,Engineering,Others,2458995,1,Key_Performer,3,0,0,3442593
36,3,0,Banking,Team Lead,Training,L,Marketing Manager,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,649849,0,C,1,0,0,747326
37,12,5,Banking,Project Manager,FMCG,P,Marketing Manager,PG,Mathematics,Mathematics,Did not do PHD,1462196,0,C,4,1,0,1748786
38,21,16,Others,Consultant,BFSI,H,Medical Officer,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,1787775,0,B,5,3,0,2234718
39,25,6,Accounts,Analyst,FMCG,A,Consultant,PG,Engineering,Engineering,Did not do PHD,1792177,0,C,4,0,0,2143443
40,9,8,Banking,Senior Researcher,Insurance,M,Sr.Manager,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,972677,1,Key_Performer,6,3,0,1264480
41,4,0,Analytics/BI,Analyst,Insurance,I,Product Manager,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,661222,0,B,2,1,0,826527
42,8,2,Engineering,Scientist,Analytics,N,Web Designer,Grad,Chemistry,Chemistry,Did not do PHD,1141979,1,A,3,3,0,1520202
43,2,2,Marketing,Sales Execituve,FMCG,A,Product Manager,Grad,Sociology,Did not do PG,Did not do PHD,584596,0,B,1,0,0,730745
45,25,25,Sales,Sales Execituve,Aviation,H,Sr.Manager,Grad,Engineering,Engineering,Did not do PHD,2576903,1,Key_Performer,3,0,0,3298435
46,22,13,Marketing,Sales Manager,Retail,J,Marketing Manager,Grad,Economics,Others,Did not do PHD,2457436,1,Key_Performer,2,0,0,3145518
47,6,5,Accounts,Financial Analyst,BFSI,K,Web Designer,Grad,Economics,Economics,Did not do PHD,558517,0,A,6,2,0,726072
48,22,20,Marketing,Senior Researcher,Analytics,K,Others,PG,Zoology,Zoology,Did not do PHD,2745205,0,C,4,1,0,3283265
49,2,2,Marketing,Sales Manager,Training,K,Assistant Manager,Grad,Mathematics,Mathematics,Did not do PHD,527444,0,A,3,4,0,659305
50,11,3,Education,Financial Analyst,IT,H,Marketing Manager,PG,Chemistry,Others,Did not do PHD,1746890,1,Key_Performer,4,1,0,2305894
51,11,10,Marketing,Head,Training,H,Marketing Manager,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,1199098,0,B,4,3,1,1498872
54,9,4,Education,Consultant,Training,J,Medical Officer,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,1503277,0,B,4,1,0,1879096
55,22,1,Banking,CEO,Training,N,Product Manager,PG,Others,Others,Did not do PHD,2429640,0,C,2,1,0,2905849
56,7,2,Marketing,Scientist,Analytics,M,CA,PG,Economics,Economics,Did not do PHD,1415042,0,D,6,1,1,1692390
57,15,1,Analytics/BI,Others,Training,N,Consultant,PG,Engineering,Engineering,Did not do PHD,2240109,0,C,2,2,0,2679170
58,4,0,Marketing,Financial Analyst,IT,H,Research Analyst,PG,Statistics,Statistics,Did not do PHD,951747,1,B,5,1,0,1256306
59,2,0,Marketing,Bio statistician,BFSI,C,CA,Grad,Statistics,Statistics,Did not do PHD,513471,0,B,3,0,0,641838
60,13,12,Education,Business Analyst,Analytics,M,CA,PG,Economics,Economics,Did not do PHD,1546266,0,B,2,1,0,2010145
62,5,3,Marketing,Team Lead,Telecom,N,Product Manager,Grad,Mathematics,Mathematics,Did not do PHD,500687,1,C,6,0,0,589609
63,22,5,IT-Software,Consultant,Automobile,M,Software Developer,PG,Others,Mathematics,Did not do PHD,3748584,1,Key_Performer,5,0,0,4948130
64,22,21,Marketing,Others,Aviation,I,Medical Officer,Grad,Psychology,Psychology,Did not do PHD,2577817,1,Key_Performer,6,0,0,3299605
65,9,3,IT-Software,Sales Execituve,Insurance,M,Marketing Manager,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,1385073,1,A,2,2,0,1800594
66,24,22,Top Management,Sr. Business Analyst,Insurance,I,Assistant Manager,Grad,Engineering,Engineering,Did not do PHD,2681512,0,D,6,0,0,3083738
67,24,8,HR,Project Manager,Aviation,K,Consultant,Doctorate,Others,Zoology,Sociology,2452799,0,D,4,0,0,3046376
69,23,7,Healthcare,Head,IT,N,Research Analyst,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,1694850,0,D,6,2,1,1949077
71,16,9,Analytics/BI,Others,FMCG,A,Medical Officer,PG,Sociology,Sociology,Did not do PHD,2631776,0,B,3,0,0,3421308
72,23,23,Others,Analyst,IT,C,Marketing Manager,Grad,Chemistry,Chemistry,Did not do PHD,2544577,1,C,4,0,0,2996493
73,9,9,IT-Software,Principal Analyst,FMCG,M,HR,PG,Chemistry,Chemistry,Did not do PHD,1373725,1,Key_Performer,4,1,0,1813317
74,15,10,Accounts,Analyst,Automobile,C,HR,PG,Engineering,Engineering,Did not do PHD,1765033,0,B,4,1,0,2294542
75,25,9,Accounts,Bio statistician,BFSI,N,Consultant,Grad,Mathematics,Mathematics,Did not do PHD,1424675,1,C,4,0,0,1677697
76,10,7,IT-Software,Others,Retail,C,Medical Officer,Grad,Chemistry,Chemistry,Did not do PHD,1812038,0,D,3,0,0,2083843
77,9,4,Sales,Scientist,Aviation,P,Others,PG,Economics,Economics,Did not do PHD,1112326,0,A,3,1,0,1446023
78,2,2,Marketing,Sales Execituve,FMCG,E,Marketing Manager,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,445521,0,B,2,3,0,556901
79,10,1,Top Management,Bio statistician,BFSI,I,Director,Grad,Statistics,Statistics,Did not do PHD,1998929,1,B,4,0,0,2558629
80,3,1,Marketing,Consultant,Insurance,B,Software Developer,PG,Mathematics,Others,Did not do PHD,661906,1,C,1,0,0,803818
81,3,2,Analytics/BI,Analyst,Telecom,A,Research Analyst,Doctorate,Botony,Others,Arts,1305809,1,B,2,0,0,1828132
82,23,17,Analytics/BI,Financial Analyst,Automobile,C,Director,PG,Statistics,Statistics,Did not do PHD,3553425,1,Key_Performer,4,1,0,4690521
83,3,2,Analytics/BI,Data scientist,Aviation,N,Consultant,Grad,Psychology,Psychology,Did not do PHD,564283,0,D,1,0,0,648925
84,11,8,Engineering,Head,BFSI,J,Consultant,PG,Mathematics,Mathematics,Did not do PHD,1789587,1,Key_Performer,6,1,0,2362254
85,8,6,Others,Scientist,IT,K,Product Manager,Grad,Statistics,Statistics,Did not do PHD,1306648,0,A,1,0,0,1698642
86,5,0,Analytics/BI,Data scientist,IT,I,Others,Grad,Sociology,Others,Did not do PHD,626042,0,A,4,0,1,813854
87,23,12,Banking,Bio statistician,Telecom,P,Others,PG,Zoology,Others,Did not do PHD,2506941,0,C,3,2,0,2998301
88,17,2,Engineering,Business Analyst,Analytics,N,Consultant,PG,Sociology,Sociology,Did not do PHD,3407677,0,Key_Performer,4,1,0,4429980
89,14,3,Sales,Others,Insurance,E,Consultant,Grad,Engineering,Engineering,Did not do PHD,1956077,1,A,6,0,0,2503778
90,4,2,Marketing,Associate,FMCG,P,Software Developer,Doctorate,Chemistry,Chemistry,Chemistry,952604,0,C,2,0,0,1183134
91,15,6,HR,Analyst,Retail,A,Director,PG,Others,Mathematics,Did not do PHD,1465915,1,D,6,0,0,1780207
92,5,3,HR,Sales Execituve,Retail,C,Medical Officer,PG,Botony,Botony,Did not do PHD,946212,0,C,5,1,0,1131669
93,11,5,Education,Project Manager,Automobile,I,HR,Doctorate,Chemistry,Chemistry,Chemistry,1979283,1,D,6,0,0,2549316
95,1,0,Others,Team Lead,Aviation,N,HR,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,505992,0,C,3,3,0,581890
96,11,3,HR,Team Lead,IT,G,Director,Grad,Economics,Economics,Did not do PHD,1863415,1,D,3,0,0,2194357
97,15,6,Banking,Financial Analyst,BFSI,I,CA,PG,Mathematics,Mathematics,Did not do PHD,2445297,1,Key_Performer,4,4,0,3227792
98,9,0,Marketing,Others,Training,O,Medical Officer,Grad,Botony,Did not do PG,Did not do PHD,969711,0,B,6,0,0,1212138
99,12,10,Engineering,CEO,Retail,N,Research Analyst,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,1285688,0,C,6,0,1,1478541
100,18,4,Sales,CEO,Aviation,E,CA,Grad,Mathematics,Mathematics,Did not do PHD,2337632,0,A,5,0,0,2922040
101,4,0,HR,Others,Training,O,Medical Officer,PG,Botony,Botony,Did not do PHD,861644,0,D,3,1,0,1030526
102,5,1,Marketing,Sales Execituve,Automobile,K,Consultant,Grad,Zoology,Zoology,Did not do PHD,542398,0,C,2,0,0,623757
103,19,5,Marketing,Sales Execituve,Analytics,F,Network Engineer,PG,Statistics,Statistics,Did not do PHD,3471444,1,Key_Performer,6,3,0,4582306
104,20,5,Engineering,Senior Researcher,Telecom,K,Data Analyst,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,2293633,1,Key_Performer,2,1,0,2981722
105,1,1,Marketing,Associate,Telecom,H,Research Analyst,Grad,Psychology,Did not do PG,Did not do PHD,472018,0,B,1,3,0,590022
106,15,14,HR,Sales Manager,Insurance,B,Software Developer,PG,Economics,Economics,Did not do PHD,1573952,0,C,5,0,0,1882446
108,13,4,Engineering,Others,Others,G,Medical Officer,Grad,Psychology,Psychology,Did not do PHD,1971569,0,A,6,0,0,2464461
109,18,3,Marketing,Head,IT,A,Software Developer,Doctorate,Statistics,Others,Botony,3686139,1,Key_Performer,6,0,1,5160594
110,5,5,Banking,Team Lead,Aviation,P,Director,Grad,Economics,Economics,Did not do PHD,630062,1,Key_Performer,5,0,0,838738
112,16,15,IT-Software,Sales Execituve,FMCG,H,Assistant Manager,PG,Chemistry,Chemistry,Did not do PHD,2300586,1,C,6,1,0,2793831
113,9,6,Banking,Sales Manager,Insurance,H,Marketing Manager,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,1825369,1,D,4,1,0,2183141
115,13,0,Analytics/BI,Financial Analyst,FMCG,J,Research Analyst,Doctorate,Mathematics,Mathematics,Mathematics,1668292,1,Key_Performer,2,0,0,2335608
116,24,11,Analytics/BI,Analyst,IT,H,Network Engineer,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,2183770,0,D,4,3,0,2511335
117,5,2,HR,Consultant,Telecom,P,Product Manager,Grad,Zoology,Zoology,Did not do PHD,508534,0,B,1,0,0,635667
118,18,13,Analytics/BI,Analyst,BFSI,L,Software Developer,Grad,Others,Economics,Did not do PHD,2514589,1,B,2,4,0,3218673
119,6,0,Education,Bio statistician,BFSI,K,HR,PG,Sociology,Sociology,Did not do PHD,1000316,0,C,5,0,0,1196377
120,12,9,Marketing,Financial Analyst,Aviation,L,Network Engineer,PG,Statistics,Statistics,Did not do PHD,2307887,1,Key_Performer,3,0,0,3046410
121,13,2,Education,Consultant,Insurance,E,Product Manager,PG,Statistics,Others,Did not do PHD,1489592,1,A,2,1,0,1966261
122,10,6,Engineering,Project Manager,BFSI,M,Research Analyst,Doctorate,Botony,Botony,Botony,1897846,0,A,2,0,0,2562092
123,20,3,Education,Sales Manager,BFSI,F,Assistant Manager,PG,Botony,Botony,Did not do PHD,2119193,1,Key_Performer,4,1,0,2797334
124,7,1,HR,Bio statistician,Aviation,H,Medical Officer,PG,Arts,Arts,Did not do PHD,1383039,1,Key_Performer,3,1,0,1898635
125,10,8,Analytics/BI,Senior Researcher,Insurance,I,Sr.Manager,Doctorate,Arts,Arts,Arts,1715332,0,A,1,0,0,2315698
126,8,1,Engineering,Bio statistician,BFSI,G,Others,PG,Sociology,Sociology,Did not do PHD,1814903,0,D,3,1,0,2170623
127,14,10,Banking,Financial Analyst,Others,L,Data Analyst,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,1347703,1,Key_Performer,2,3,0,1752013
128,1,0,Healthcare,Business Analyst,Analytics,I,Marketing Manager,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,499723,0,D,3,2,0,574681
129,21,9,Banking,Head,Aviation,M,Manager,Grad,Chemistry,Chemistry,Did not do PHD,2490503,1,Key_Performer,4,0,1,3187843
130,10,8,Sales,Financial Analyst,Aviation,I,Consultant,Grad,Engineering,Engineering,Did not do PHD,1917907,1,Key_Performer,4,0,0,2454920
132,11,4,Analytics/BI,Team Lead,Telecom,F,Product Manager,PG,Psychology,Psychology,Did not do PHD,2472884,0,Key_Performer,2,0,0,3214749
133,18,13,Banking,Head,Automobile,B,Data Analyst,PG,Botony,Botony,Did not do PHD,2767657,0,A,4,1,0,3597954
134,6,2,Analytics/BI,Data scientist,Telecom,F,Product Manager,PG,Zoology,Zoology,Did not do PHD,1229122,0,D,6,1,0,1470029
135,23,16,Banking,Consultant,Automobile,E,Data Analyst,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,2232090,0,B,2,1,0,2790112
136,7,2,Marketing,Team Lead,IT,E,Product Manager,Doctorate,Chemistry,Chemistry,Chemistry,2026214,1,Key_Performer,6,0,0,2950167
137,10,6,HR,Head,BFSI,F,Web Designer,Doctorate,Engineering,Engineering,Engineering,1913744,0,B,1,0,0,2583554
138,8,6,Engineering,Sales Manager,Training,F,HR,Doctorate,Economics,Economics,Economics,2130454,0,D,1,0,0,2646023
139,8,7,IT-Software,Project Manager,Others,F,HR,Doctorate,Statistics,Statistics,Statistics,1614706,1,A,3,0,0,2351011
140,0,0,Fresher,Fresher,Fresher,Fresher,Fresher,Grad,Others,Economics,Did not do PHD,0,0,Fresher,0,0,0,658618
141,22,22,Banking,Head,Aviation,E,Product Manager,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,2385260,0,A,5,0,0,2981575
142,19,8,IT-Software,Consultant,Insurance,E,Product Manager,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,2576392,0,C,2,1,0,2962850
144,24,18,Banking,Business Analyst,Insurance,E,Software Developer,PG,Engineering,Engineering,Did not do PHD,3209344,1,D,6,0,0,3897427
145,23,23,IT-Software,Consultant,IT,D,Network Engineer,Doctorate,Engineering,Engineering,Engineering,2445616,0,B,5,0,0,3301581
146,16,2,Healthcare,Analyst,Training,J,Others,Doctorate,Engineering,Engineering,Engineering,2731289,0,D,3,0,0,3392260
147,11,10,HR,Consultant,BFSI,C,Director,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,1237294,1,A,4,1,0,1608482
148,25,6,Analytics/BI,Senior Researcher,Telecom,B,Research Scientist,Grad,Zoology,Zoology,Did not do PHD,2555671,0,B,6,0,0,3194588
149,19,15,Education,CEO,FMCG,K,Data Analyst,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,2465740,0,C,3,1,1,2835601
150,0,0,Fresher,Fresher,Fresher,Fresher,Fresher,Grad,Botony,Others,Did not do PHD,0,0,Fresher,0,0,0,546975
151,11,9,Healthcare,Sales Execituve,Insurance,G,Web Designer,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,1443236,1,B,5,3,0,1876206
152,21,15,HR,Sales Manager,Others,B,Marketing Manager,Doctorate,Sociology,Sociology,Others,3619506,0,C,3,0,0,4495426
153,5,3,Education,Financial Analyst,Training,K,Web Designer,Grad,Chemistry,Chemistry,Did not do PHD,581484,0,B,3,0,0,726855
154,6,2,Healthcare,Researcher,Training,J,Product Manager,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,1030449,0,C,4,1,0,1185016
156,22,15,Banking,Project Manager,Automobile,J,Director,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,2499280,0,B,2,2,0,3124100
157,13,12,Top Management,Senior Analyst,Analytics,L,Others,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,1112748,1,Key_Performer,4,1,0,1446572
158,21,11,IT-Software,Analyst,Analytics,L,HR,Grad,Statistics,Statistics,Did not do PHD,2414980,1,C,6,0,0,2843880
159,23,9,Analytics/BI,Head,Others,K,Marketing Manager,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,2164153,1,Key_Performer,2,1,1,2813398
160,20,2,Marketing,CEO,BFSI,E,Others,PG,Chemistry,Chemistry,Did not do PHD,2431197,1,B,4,0,0,3209180
162,12,0,Analytics/BI,Analyst,Automobile,J,Web Designer,PG,Statistics,Statistics,Did not do PHD,1976777,1,D,5,1,0,2400597
163,10,4,Accounts,Sales Manager,Analytics,L,Software Developer,PG,Engineering,Engineering,Did not do PHD,1706558,0,D,3,1,0,2041043
164,3,2,Accounts,Business Analyst,Automobile,E,HR,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,495240,1,A,2,4,0,643812
165,22,6,Others,CEO,Others,O,Product Manager,PG,Botony,Botony,Did not do PHD,3460895,1,Key_Performer,4,0,1,4568381
166,25,3,Others,Head,Automobile,F,Consultant,Doctorate,Engineering,Engineering,Engineering,3488390,0,D,2,0,1,4332580
167,19,11,IT-Software,Head,FMCG,P,Director,Grad,Mathematics,Mathematics,Did not do PHD,2467345,1,Key_Performer,6,0,1,3158201
168,8,3,HR,Sales Manager,Automobile,P,Software Developer,Doctorate,Chemistry,Chemistry,Chemistry,1567046,0,D,5,0,0,1946271
169,14,6,Top Management,CEO,Insurance,L,Research Analyst,Grad,Arts,Others,Did not do PHD,1922908,0,B,5,1,1,2403635
170,5,1,Analytics/BI,Scientist,Automobile,J,HR,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,558190,0,A,1,1,1,725647
171,17,12,Healthcare,Bio statistician,Retail,L,Product Manager,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,2622243,0,C,5,5,0,3015579
172,14,14,Banking,Bio statistician,Telecom,G,CA,PG,Engineering,Engineering,Did not do PHD,2322287,1,A,2,1,0,3065418
173,16,9,Analytics/BI,Business Analyst,Aviation,O,Data Analyst,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,2559409,0,B,5,0,0,3199261
174,21,0,Engineering,Sales Execituve,Analytics,K,Product Manager,Doctorate,Zoology,Zoology,Others,3245903,0,B,2,0,0,4381969
175,1,0,Sales,Sales Execituve,Automobile,I,Medical Officer,PG,Arts,Arts,Did not do PHD,418946,1,B,3,0,0,553008
176,0,0,Fresher,Fresher,Fresher,Fresher,Fresher,PG,Others,Mathematics,Did not do PHD,0,0,Fresher,0,0,0,577554
177,14,6,Banking,Sales Execituve,Others,L,CA,Doctorate,Engineering,Engineering,Engineering,1818660,0,D,2,0,0,2258775
178,9,2,Top Management,Project Manager,IT,P,Manager,PG,Arts,Arts,Did not do PHD,932599,0,A,2,0,0,1212378
179,22,12,Marketing,Head,IT,O,Sr.Manager,PG,Botony,Botony,Did not do PHD,2773534,0,B,6,0,1,3605594
180,7,0,Others,Sales Execituve,Others,N,Web Designer,Doctorate,Mathematics,Mathematics,Mathematics,2086320,0,B,1,0,0,2816532
181,0,0,Fresher,Fresher,Fresher,Fresher,Fresher,Doctorate,Others,Chemistry,Sociology,0,0,Fresher,0,0,0,857468
182,1,1,Marketing,Financial Analyst,Analytics,O,HR,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,429866,0,B,2,0,0,537332
185,2,1,Analytics/BI,Bio statistician,Training,I,Research Analyst,PG,Mathematics,Mathematics,Did not do PHD,543167,0,B,2,1,0,695253
186,15,6,Analytics/BI,Head,Aviation,J,Network Engineer,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,2363690,0,C,6,2,1,2718243
187,5,0,Engineering,Bio statistician,Aviation,F,Assistant Manager,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,455747,0,D,6,2,0,524109
188,18,16,Others,Project Manager,Retail,A,Manager,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,2756888,0,C,6,2,0,3170421
189,20,5,HR,Project Manager,Automobile,L,Research Analyst,Doctorate,Economics,Others,Chemistry,2536267,0,D,4,0,0,3150043
190,3,3,Sales,Project Manager,BFSI,F,Others,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,514352,0,D,2,0,0,591504
191,14,14,Sales,Team Lead,Retail,G,Assistant Manager,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,1226930,1,B,3,0,0,1595009
192,24,21,Marketing,Others,Others,E,Manager,Grad,Economics,Economics,Did not do PHD,2422592,0,A,4,0,0,3028240
193,19,7,Healthcare,Bio statistician,Aviation,H,Sr.Manager,PG,Statistics,Statistics,Did not do PHD,2430067,0,B,5,0,0,3159087
194,14,8,Engineering,Head,Training,E,Director,PG,Others,Chemistry,Did not do PHD,1609054,0,B,6,0,1,2091770
195,21,20,Education,Team Lead,Retail,O,Research Analyst,Grad,Economics,Economics,Did not do PHD,1761172,0,B,4,4,0,2201465
196,9,5,HR,Senior Researcher,Retail,C,Sr.Manager,Grad,Zoology,Zoology,Did not do PHD,1146614,0,D,2,0,0,1318606
197,9,0,Education,Analyst,Aviation,E,Product Manager,Grad,Botony,Others,Did not do PHD,1267859,0,B,4,0,0,1584823
198,19,17,Education,Bio statistician,Analytics,C,Product Manager,Doctorate,Zoology,Zoology,Others,3971692,0,D,3,0,0,4932841
200,22,6,HR,CEO,Insurance,F,Marketing Manager,Doctorate,Arts,Arts,Arts,2651096,0,B,6,0,0,3578979
201,3,1,HR,Analyst,Others,G,Research Analyst,PG,Economics,Economics,Did not do PHD,755345,0,B,2,0,0,981948
202,17,6,Accounts,Sales Execituve,Aviation,F,Research Analyst,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,1779216,1,Key_Performer,5,2,0,2312980
203,14,13,Sales,Sales Execituve,Analytics,O,Consultant,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,1180321,0,Key_Performer,3,2,0,1475401
205,22,10,Others,Financial Analyst,Others,C,Assistant Manager,Doctorate,Engineering,Engineering,Engineering,2997648,1,C,5,0,0,3860970
206,0,0,Fresher,Fresher,Fresher,Fresher,Fresher,Grad,Zoology,Zoology,Did not do PHD,0,0,Fresher,0,0,0,306742
207,10,7,Top Management,Senior Analyst,Telecom,J,Marketing Manager,Grad,Statistics,Statistics,Did not do PHD,1843693,1,Key_Performer,4,0,0,2359927
208,25,4,Top Management,Bio statistician,Analytics,G,Assistant Manager,Doctorate,Engineering,Others,Engineering,2788370,0,A,6,0,0,3764299
209,17,3,Top Management,Others,Insurance,H,Research Analyst,Grad,Psychology,Psychology,Did not do PHD,2216049,0,D,4,2,0,2548456
210,6,6,HR,Project Manager,Others,H,Marketing Manager,Grad,Psychology,Psychology,Did not do PHD,1310239,0,D,4,0,0,1506774
211,18,10,Accounts,Consultant,Insurance,M,Software Developer,PG,Others,Sociology,Did not do PHD,1546540,0,A,6,1,0,2010502
212,20,16,Analytics/BI,Data scientist,Automobile,J,Product Manager,Doctorate,Arts,Arts,Arts,3594026,1,Key_Performer,6,0,1,5031636
213,5,5,Marketing,Sales Execituve,Aviation,I,Product Manager,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,440977,0,B,6,3,0,551221
214,5,0,HR,Sales Manager,Retail,C,Others,Grad,Engineering,Engineering,Did not do PHD,530413,0,D,2,0,0,609974
215,1,1,Accounts,Sales Execituve,Training,I,Data Analyst,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,540397,0,B,2,2,0,675496
216,2,2,HR,Analyst,Others,M,Sr.Manager,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,438458,0,A,1,3,0,548072
217,3,0,HR,Bio statistician,Automobile,D,Manager,Grad,Sociology,Sociology,Did not do PHD,513294,1,B,2,0,0,657016
